0,1,2,3,4,5,6,7,8,9,10
sausage,canned beer,,,,,,,,,
shopping bags,beef,citrus fruit,cat food,,,,,,,
onions,root vegetables,,,,,,,,,
bottled beer,domestic eggs,brown bread,chewing gum,,,,,,,
rolls/buns,other vegetables,chewing gum,,,,,,,,
rolls/buns,white bread,,,,,,,,,
hygiene articles,shopping bags,,,,,,,,,
hamburger meat,chicken,butter,rolls/buns,,,,,,,
bathroom cleaner,other vegetables,,,,,,,,,
turkey,root vegetables,other vegetables,berries,salty snack,,,,,,
domestic eggs,coffee,pastry,,,,,,,,
misc. beverages,domestic eggs,,,,,,,,,
beef,herbs,,,,,,,,,
pork,packaged fruit/vegetables,pastry,rolls/buns,,,,,,,
rolls/buns,herbs,,,,,,,,,
rolls/buns,bottled water,,,,,,,,,
pasta,cream cheese ,,,,,,,,,
frankfurter,citrus fruit,newspapers,,,,,,,,
butter,softener,,,,,,,,,
bottled water,chicken,processed cheese,whole milk,,,,,,,
whole milk,shopping bags,,,,,,,,,
yogurt,soda,yogurt,,,,,,,,
whole milk,shopping bags,,,,,,,,,
tropical fruit,pickled vegetables,bottled beer,,,,,,,,
chocolate marshmallow,salt,,,,,,,,,
butter,sauces,,,,,,,,,
shopping bags,rice,,,,,,,,,
whole milk,whole milk,canned beer,Instant food products,,,,,,,
other vegetables,salt,other vegetables,,,,,,,,
hamburger meat,coffee,,,,,,,,,
frankfurter,yogurt,,,,,,,,,
whole milk,cream cheese ,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
root vegetables,frozen vegetables,,,,,,,,,
frozen vegetables,whole milk,,,,,,,,,
citrus fruit,other vegetables,pip fruit,pork,soda,yogurt,herbs,red/blush wine,,,
jam,margarine,,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
cream cheese ,newspapers,,,,,,,,,
fruit/vegetable juice,root vegetables,,,,,,,,,
curd,tropical fruit,,,,,,,,,
sweet spreads,butter,,,,,,,,,
specialty chocolate,vinegar,,,,,,,,,
butter,specialty chocolate,,,,,,,,,
yogurt,rolls/buns,rolls/buns,,,,,,,,
whole milk,butter,,,,,,,,,
whole milk,pip fruit,,,,,,,,,
oil,misc. beverages,candy,yogurt,,,,,,,
ham,pickled vegetables,,,,,,,,,
beef,domestic eggs,pastry,,,,,,,,
white bread,citrus fruit,sugar,,,,,,,,
sausage,other vegetables,,,,,,,,,
whole milk,other vegetables,rice,,,,,,,,
fish,sausage,other vegetables,soda,rolls/buns,,,,,,
citrus fruit,beef,,,,,,,,,
beef,other vegetables,,,,,,,,,
yogurt,soda,frozen fish,,,,,,,,
cream cheese ,root vegetables,,,,,,,,,
pork,cake bar,,,,,,,,,
beef,grapes,,,,,,,,,
organic sausage,frozen meals,sugar,,,,,,,,
sausage,yogurt,,,,,,,,,
whipped/sour cream,other vegetables,,,,,,,,,
napkins,cake bar,,,,,,,,,
other vegetables,margarine,,,,,,,,,
frozen potato products,frankfurter,brown bread,roll products ,detergent,,,,,,
bottled water,frozen chicken,,,,,,,,,
soda,frozen vegetables,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
soda,canned beer,white bread,berries,,,,,,,
soda,snack products,whole milk,,,,,,,,
instant coffee,candles,,,,,,,,,
curd,cream cheese ,hygiene articles,,,,,,,,
oil,butter,,,,,,,,,
zwieback,butter,,,,,,,,,
beef,flower (seeds),,,,,,,,,
